,Survived,Pclass,Sex,Age,Fare,Embarked,FamilyGroup,Type of Ticket,Title,Type of Cabin,AgeGroup
0,0.0,3.0,1.0,22.0,7.25,2.0,1.0,3.0000000000000018,2.0,8.0,Adult
1,1.0,1.0,0.0,38.0,71.2833,0.0,1.0,17.0,3.0,2.0,Middle-aged
2,1.0,3.0,0.0,26.0,7.925000000000001,2.0,0.0,37.0,1.0,8.0,Adult
3,1.0,1.0,0.0,35.0,53.1,2.0,1.0,15.0,3.0,2.0,Middle-aged
4,0.0,3.0,1.0,35.0,8.05,2.0,0.0,15.0,2.0,8.0,Middle-aged
5,0.0,3.0,1.0,47.8,8.458300000000001,1.0,0.0,15.0,2.0,8.0,Middle-aged
6,0.0,1.0,1.0,54.0,51.8625,2.0,0.0,15.0,2.0,4.0,Senior
7,0.0,3.0,1.0,2.0,21.075,2.0,4.0,15.0,-2.220446049250313e-16,8.0,Child
8,1.0,3.0,0.0,27.0,11.133299999999998,2.0,2.0,15.0,3.0,8.0,Adult
9,1.0,2.0,0.0,14.000000000000002,30.0708,0.0,1.0,15.0,3.0,8.0,Teen
10,1.0,3.0,0.0,4.0,16.7,2.0,2.0,18.0,1.0,6.0,Child
11,1.0,1.0,0.0,58.0,26.55,2.0,0.0,15.0,1.0,2.0,Senior
12,0.0,3.0,1.0,20.0,8.05,2.0,0.0,4.0,2.0,8.0,Adult
13,0.0,3.0,1.0,39.0,31.275,2.0,6.0,15.0,2.0,8.0,Middle-aged
14,0.0,3.0,0.0,14.000000000000002,7.854199999999999,2.0,0.0,15.0,1.0,8.0,Teen
15,1.0,2.0,0.0,55.0,16.0,2.0,0.0,15.0,3.0,8.0,Senior
16,0.0,3.0,1.0,2.0,29.125,1.0,5.0,15.0,-2.220446049250313e-16,8.0,Child
17,1.0,2.0,1.0,32.8,13.0,2.0,0.0,15.0,2.0,8.0,Middle-aged
18,0.0,3.0,0.0,31.0,18.0,2.0,1.0,15.0,3.0,8.0,Middle-aged
19,1.0,3.0,0.0,22.0,7.225000000000005,0.0,0.0,15.0,3.0,8.0,Adult
20,0.0,2.0,1.0,35.0,26.0,2.0,0.0,15.0,2.0,8.0,Middle-aged
21,1.0,2.0,1.0,34.0,13.0,2.0,0.0,15.0,2.0,2.9999999999999996,Middle-aged
22,1.0,3.0,0.0,15.0,8.0292,1.0,0.0,15.0,1.0,8.0,Teen
23,1.0,1.0,1.0,28.0,35.5,2.0,0.0,15.0,2.0,0.0,Adult
24,0.0,3.0,0.0,8.0,21.075,2.0,4.0,15.0,1.0,8.0,Child
25,1.0,3.0,0.0,38.0,31.3875,2.0,6.0,15.0,3.0,8.0,Middle-aged
26,0.0,3.0,1.0,33.8,7.225000000000005,0.0,0.0,15.0,2.0,8.0,Middle-aged
27,0.0,1.0,1.0,19.0,263.00000000000006,2.0,5.0,15.0,2.0,2.0,Adult
28,1.0,3.0,0.0,17.6,7.879200000000001,1.0,0.0,15.0,1.0,8.0,Teen
29,0.0,3.0,1.0,29.0,7.895800000000001,2.0,0.0,15.0,2.0,8.0,Adult
30,0.0,1.0,1.0,40.0,27.7208,0.0,0.0,17.0,4.0,8.0,Middle-aged
31,1.0,1.0,0.0,34.2,146.5208,0.0,1.0,17.0,3.0,1.0,Middle-aged
32,1.0,3.0,0.0,17.6,7.75,1.0,0.0,15.0,1.0,8.0,Teen
33,0.0,2.0,1.0,66.0,10.5,2.0,0.0,7.0,2.0,8.0,Senior
34,0.0,1.0,1.0,28.0,82.1708,0.0,1.0,17.0,2.0,8.0,Adult
35,0.0,1.0,1.0,42.0,52.0,2.0,1.0,15.0,2.0,8.0,Middle-aged
36,1.0,3.0,1.0,23.4,7.229199999999999,0.0,0.0,15.0,2.0,8.0,Adult
37,0.0,3.0,1.0,21.0,8.05,2.0,0.0,2.0,2.0,8.0,Adult
