,Survived,Pclass,Sex,Age,Fare,Embarked,FamilyGroup,Type of Ticket,Title,Type of Cabin,AgeGroup
0,0.0,3.0,male,22.0,7.25,S,1.0,A/,Mr,Unknown,Adult
1,1.0,1.0,female,38.0,71.2833,C,1.0,PC,Mrs,C,Middle-aged
2,1.0,3.0,female,26.0,7.925000000000001,S,0.0,STON/O.,Miss,Unknown,Adult
3,1.0,1.0,female,35.0,53.1,S,1.0,Numeric,Mrs,C,Middle-aged
4,0.0,3.0,male,35.0,8.05,S,0.0,Numeric,Mr,Unknown,Middle-aged
5,0.0,3.0,male,47.8,8.458300000000001,Q,0.0,Numeric,Mr,Unknown,Middle-aged
6,0.0,1.0,male,54.0,51.8625,S,0.0,Numeric,Mr,E,Senior
7,0.0,3.0,male,2.0,21.075,S,4.0,Numeric,Master,Unknown,Child
8,1.0,3.0,female,27.0,11.133299999999998,S,2.0,Numeric,Mrs,Unknown,Adult
9,1.0,2.0,female,14.000000000000002,30.0708,C,1.0,Numeric,Mrs,Unknown,Teen
10,1.0,3.0,female,4.0,16.7,S,2.0,PP,Miss,G,Child
11,1.0,1.0,female,58.0,26.55,S,0.0,Numeric,Miss,C,Senior
12,0.0,3.0,male,20.0,8.05,S,0.0,A/.,Mr,Unknown,Adult
13,0.0,3.0,male,39.0,31.275,S,6.0,Numeric,Mr,Unknown,Middle-aged
14,0.0,3.0,female,14.000000000000002,7.854199999999999,S,0.0,Numeric,Miss,Unknown,Teen
15,1.0,2.0,female,55.0,16.0,S,0.0,Numeric,Mrs,Unknown,Senior
16,0.0,3.0,male,2.0,29.125,Q,5.0,Numeric,Master,Unknown,Child
17,1.0,2.0,male,32.8,13.0,S,0.0,Numeric,Mr,Unknown,Middle-aged
18,0.0,3.0,female,31.0,18.0,S,1.0,Numeric,Mrs,Unknown,Middle-aged
19,1.0,3.0,female,22.0,7.225000000000005,C,0.0,Numeric,Mrs,Unknown,Adult
20,0.0,2.0,male,35.0,26.0,S,0.0,Numeric,Mr,Unknown,Middle-aged
21,1.0,2.0,male,34.0,13.0,S,0.0,Numeric,Mr,C,Middle-aged
22,1.0,3.0,female,15.0,8.0292,Q,0.0,Numeric,Miss,Unknown,Teen
23,1.0,1.0,male,28.0,35.5,S,0.0,Numeric,Mr,A,Adult
24,0.0,3.0,female,8.0,21.075,S,4.0,Numeric,Miss,Unknown,Child
25,1.0,3.0,female,38.0,31.3875,S,6.0,Numeric,Mrs,Unknown,Middle-aged
26,0.0,3.0,male,33.8,7.225000000000005,C,0.0,Numeric,Mr,Unknown,Middle-aged
27,0.0,1.0,male,19.0,263.00000000000006,S,5.0,Numeric,Mr,C,Adult
28,1.0,3.0,female,17.6,7.879200000000001,Q,0.0,Numeric,Miss,Unknown,Teen
29,0.0,3.0,male,29.0,7.895800000000001,S,0.0,Numeric,Mr,Unknown,Adult
30,0.0,1.0,male,40.0,27.7208,C,0.0,PC,Rare,Unknown,Middle-aged
31,1.0,1.0,female,34.2,146.5208,C,1.0,PC,Mrs,B,Middle-aged
32,1.0,3.0,female,17.6,7.75,Q,0.0,Numeric,Miss,Unknown,Teen
33,0.0,2.0,male,66.0,10.5,S,0.0,C.A.,Mr,Unknown,Senior
34,0.0,1.0,male,28.0,82.1708,C,1.0,PC,Mr,Unknown,Adult
35,0.0,1.0,male,42.0,52.0,S,1.0,Numeric,Mr,Unknown,Middle-aged
36,1.0,3.0,male,23.4,7.229199999999999,C,0.0,Numeric,Mr,Unknown,Adult
37,0.0,3.0,male,21.0,8.05,S,0.0,A./.,Mr,Unknown,Adult
38,0.0,3.0,female,18.0,18.0,S,2.0,Numeric,Miss,Unknown,Teen
39,1.0,3.0,female,14.000000000000002,11.241700000000002,C,1.0,Numeric,Miss,Unknown,Teen
40,0.0,3.0,female,40.0,9.475000000000001,S,1.0,Numeric,Mrs,Unknown,Middle-aged
41,0.0,2.0,female,27.0,21.0,S,1.0,Numeric,Mrs,Unknown,Adult
42,0.0,3.0,male,28.4,7.895800000000001,C,0.0,Numeric,Mr,Unknown,Adult
43,1.0,2.0,female,3.0,41.5792,C,3.0,SC/Paris,Miss,Unknown,Child
44,1.0,3.0,female,19.0,7.879200000000001,Q,0.0,Numeric,Miss,Unknown,Adult
45,0.0,3.0,male,33.4,8.05,S,0.0,S.C./A..,Mr,Unknown,Middle-aged
46,0.0,3.0,male,41.7,15.5,Q,1.0,Numeric,Mr,Unknown,Middle-aged
47,1.0,3.0,female,17.6,7.75,Q,0.0,Numeric,Miss,Unknown,Teen
48,0.0,3.0,male,19.200000000000003,21.6792,C,2.0,Numeric,Mr,Unknown,Adult
49,0.0,3.0,female,18.0,17.799999999999997,S,1.0,Numeric,Mrs,Unknown,Teen
50,0.0,3.0,male,7.0,39.6875,S,5.0,Numeric,Master,Unknown,Child
51,0.0,3.0,male,21.0,7.800000000000001,S,0.0,A/.,Mr,Unknown,Adult
52,1.0,1.0,female,49.0,76.7292,C,1.0,PC,Mrs,C,Middle-aged
53,1.0,2.0,female,29.0,26.0,S,1.0,Numeric,Mrs,Unknown,Adult
54,0.0,1.0,male,65.0,61.9792,C,1.0,Numeric,Mr,B,Senior
55,1.0,1.0,male,45.2,35.5,S,0.0,Numeric,Mr,C,Middle-aged
56,1.0,2.0,female,21.0,10.5,S,0.0,C.A.,Miss,Unknown,Adult
57,0.0,3.0,male,28.5,7.229199999999999,C,0.0,Numeric,Mr,Unknown,Adult
58,1.0,2.0,female,5.0,27.75,S,3.0,C.A.,Miss,Unknown,Child
59,0.0,3.0,male,11.0,46.9,S,7.0,CA,Master,Unknown,Teen
60,0.0,3.0,male,22.0,7.229199999999999,C,0.0,Numeric,Mr,Unknown,Adult
61,1.0,1.0,female,38.0,80.0,S,0.0,Numeric,Miss,B,Middle-aged
62,0.0,1.0,male,45.0,83.475,S,1.0,Numeric,Mr,C,Middle-aged
63,0.0,3.0,male,4.0,27.9,S,5.0,Numeric,Master,Unknown,Child
64,0.0,1.0,male,42.5,27.7208,C,0.0,PC,Mr,Unknown,Middle-aged
65,1.0,3.0,male,3.6839999999999975,15.2458,C,2.0,Numeric,Master,Unknown,Child
66,1.0,2.0,female,29.0,10.5,S,0.0,C.A.,Mrs,F,Adult
